 Unix Time (secs) ,Temperature C , Humidity , Carbon Dioxide level (ppm) , Oxidising gases (ppm) , Reducing gases (ppm) , NH3 (ppm) , Front ultrasonic distance(mm) , rear ultrasonic distance(mm) 
1678191876680.27,29,21,567,8110,71755,53565,1002,543
1678191879635.614,29,21,567,8074,70696,53408,1002,999
1678191881129.0122,29,21,567,8056,70977,53200,1003,143
1678191884032.461,29,21,567,8110,71047,53775,1002,502
1678191885556.914,29,21,567,8038,71188,53565,1003,543
1678191887057.021,29,21,567,8056,70556,53408,1002,432
1678191890034.1,29,21,567,8056,70417,52889,1002,999
1678191891524.663,29,21,567,8002,71047,52682,1003,145
1678191894467.339,29,21,567,7931,70977,52682,1003,999
1678191895966.42,29,21,567,7931,70417,52272,1003,142
1678191897500.9229,29,21,567,8002,70347,52323,1011,999
1678191900471.314,29,21,567,7949,71047,52580,1003,999
1678191901983.85,29,21,567,7967,70977,52682,911,539
1678191904896.224,29,21,567,8002,70556,52631,1002,686
1678191906439.7432,29,21,567,8002,71047,52682,1003,921
1678191909362.525,29,21,567,8002,71400,52734,1003,144
1678191910866.8,29,21,567,8038,70906,52631,1002,212
1678191912368.237,29,21,567,8002,70347,52374,1002,272
1678191915280.262,29,21,567,8020,70486,52528,1003,595
1678191916766.988,29,21,567,8002,70417,52426,1003,177
1678191919727.58,29,21,566,8038,70556,52631,967,345
1678191921182.544,29,21,566,8074,70556,52992,341,135
1678191924078.425,29,21,567,8038,70696,53044,1002,218
1678191925576.3308,29,21,566,8038,70977,52580,497,999
1678191928476.616,29,21,567,8002,70626,52323,1003,255
1678191930003.145,29,21,567,8002,70977,52477,1002,546
1678191931459.028,29,21,567,8002,70486,52323,529,141
1678191934409.7659,29,21,568,8002,71259,52374,1002,984
1678191935912.472,29,21,568,8038,70836,52374,1002,165
1678191938822.96,29,21,568,8038,70977,52580,1002,143
1678191940335.57,29,21,567,8020,70977,52426,1002,620
1678191943253.438,29,21,568,7949,70977,52477,1002,144
1678191944765.46,29,21,567,8002,70208,52272,1002,142
1678191946312.1309,29,21,567,7967,71118,52477,1002,999
1678191949275.138,29,21,568,8002,71329,52374,1002,571
1678191950770.245,29,21,567,8002,71188,52682,1002,144
1678191953718.18,29,21,567,8002,70836,52786,1002,278
1678191955207.989,29,21,567,7931,70556,52068,1003,142
1678191958166.923,29,21,567,7931,71329,52119,1003,143
1678191959679.959,29,21,566,7931,70486,52119,1002,543
1678191961172.3179,29,21,566,7931,70977,52068,1002,203
1678191964083.68,29,21,566,8002,70208,52068,1003,546
1678191965614.196,29,21,566,7949,70556,52017,1002,629
1678191968528.346,29,21,566,7931,70906,51966,1003,142
1678191970031.84,29,21,566,7949,70556,51814,1002,543
1678191972913.05,29,21,566,7913,71118,51915,1003,143
1678191974421.4138,29,21,566,7913,70486,52119,1002,576
1678191975905.2751,29,21,566,7877,70766,52017,1002,142
1678191978830.291,29,21,566,7895,70069,51662,1002,857
1678191980321.394,29,21,566,7860,70766,51410,1002,198
